species,life_cycle,gametes,size,branching,tissue_complexity,attachment,stype,calcification,coenocyte,thickness,growth,pneumatocysts,articulated,position_to_benthos,blades,branch_shape,midrib,blade_category,aquacultured,Food,Feed,Hydrocolloid,Biofuel,Fertilizer,group
Alaria esculenta,alternation of generations,oogamous,200,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,n,n,flexible,leaflike,flattened,y,few large,y,1,,,,,A
Laminaria digitata,alternation of generations,oogamous,200,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,n,n,flexible,leaflike,none,n,single,y,1,1,1,,,A
macrocystis pyrifera,alternation of generations,oogamous,3050,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,y,n,flexible,leaflike,terete,n,many small,y,,1,1,1,,A
saccharina japonica,alternation of generations,oogamous,400,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,n,n,flexible,leaflike,none,n,single,y,,,,,1,A
saccharina latissima,alternation of generations,oogamous,400,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,n,n,flexible,leaflike,none,n,single,y,,,,,1,A
Sargassum fusiforme,alternation of generations,oogamous,100,branching off main axis,parenchymatous,hapterous,y,n,n,4,interacalary,y,n,flexible,leaflike,terete,n,many small,y,,,1,,1,A
Undaria pinnatifida,alternation of generations,oogamous,300,unbranched,parenchymatous,hapterous,y,n,n,4,interacalary,n,n,flexible,leaflike,none,y,single,y,1,,1,,,A
Capsosiphon fulvescens,diplobiontic,isogagmous,30,unbranched,parenchymatous,discoid,n,n,n,1,diffuse,n,n,flexible,not leaflike,none,n,none,y,1,,,,,D
Caulerpa racemosa,diplobiontic,anisogamous,30,branching off main axis,unicellular,rhizome,n,n,y,1,tip,n,n,flexible,not leaflike,terete,n,many small,y,1,,,,,D
Codium fragile,diplobiontic,anisogamous,10,dichotomous,unicellular,crustose,n,n,y,1,centripetal invagination,n,n,flexible,not leaflike,terete,n,none,y,1,,,,,D
Enteromorpha prolifera,diplobiontic,anisogamous,50,branching off main axis,parenchymatous,discoid,n,n,n,1,diffuse,n,n,flexible,not leaflike,none,n,none,y,,1,,,,D
Gigartina skottsbergii,triphasic,oogamous,100,unbranched,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,leaflike,none,n,few large,y,,,1,,,B
Meristotheca senegalensis,triphasic,oogamous,25,irregular,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,leaflike,flattened,n,many small,y,1,,,,,B
palmaria palmata,triphasic,oogamous,50,dichotomous,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,leaflike,flattened,n,many small,y,1,,,,,B
Sarcothalia crispata,triphasic,oogamous,100,branching off main axis,pseudoparenchymatous,discoid,n,n,n,4,tip,n,n,flexible,leaflike,none,n,few large,y,,,1,,,B
Monostroma nitidum,alternation of generations,anisogamous,12,unbranched,parenchymatous,discoid,n,n,n,1,diffuse,n,n,flexible,leaflike,none,n,single,y,1,,,,,E
