species_code,value_1000
MAR,811.715
APR,426.372
AMJ,1037184.662
AAA,340.949
AAB,0
AAS,24.064
ABF,31427.665
ABJ,46.4
ABP,75990.508
ABX,2482749.008
ACB,1957.476
ACH,82398.72
AJC,380.354
AJM,200
ALR,4.725
AMB,3800
AMS,0
AMX,61720.846
APB,2774.505
APE,1.948
APG,4116.81
APL,626.641
ARP,5973.037
AST,3.386
AUO,18.031
AXF,1122.226
AYS,22.46
BAH,604997.57
BAJ,461403.022
BBK,33.996
BCB,15.195
BCL,2690.177
BCM,877.362
BFS,48.022
BFT,534920.156
BGJ,9.864
BGX,18.609
BIC,7511283.366
BKC,3037438.036
BLC,997378.491
BMZ,1465.362
BNC,1299.257
BNM,13.435
BNO,21.813
BOY,41.715
BSS,1793921.272
BSX,869.972
BUF,0
BVF,1161.706
BXH,15020.1
BYB,2600.78
BZH,11692.075
CAF,1708.444
CAN,3.192
CAU,6.411
CBA,99888.596
CBT,109138.72
CDT,289.612
CEW,20.01
CFS,0
CGM,137264.768
CGO,1099.12
CHA,11355
CHC,2499
CHE,2378.168
CHI,218743.277
CHL,3.088
CHR,18773.454
CHU,90.72
CID,826.707
CIJ,315.438
CIV,8926.3
CLH,56644.64
CLJ,7318356.409
CLN,0
CLR,259.375
CLS,275.507
CLX,50207.993
CLZ,688596.235
CMA,64055.156
CMG,946342.124
CMR,231.193
CNA,1222140.958
CNP,2582.514
COB,612.237
COC,8202.157
COD,3388.583
COH,1368271.911
COO,0
CPR,226.764
CRA,186799.396
CRD,180.549
CRP,2822.12
CRS,674498.785
CRU,1082.596
CSC,199.378
CSD,322467.41
CSI,18468.549
CSM,248090.237
CSO,43551.875
CSR,180.308
CST,0
CSY,9940.6
CTG,105372.598
CTO,1692499.563
CTT,5809686.583
CUJ,1456970.334
CUX,3337.693
CXS,1611.235
CXT,0.368
DDA,25.161
DEP,33.897
DKX,66
DOD,1585.207
DOK,22.075
DOM,1004.85
DSE,8721.3
DZS,1527.797
EBP,672
EEA,12.384
EEC,0.881
EEN,805.889
EFK,623.535
EFY,812.613
EIF,2249.12
EKN,39.297
ELE,67489.531
ELJ,2320692.848
ELX,4830.347
EMA,217966.615
EME,3036.564
EMI,8213.381
EML,551.288
EMO,894.678
EMW,0.734
EMX,1591937.124
ENI,5556.937
EPR,0
EPY,19.22
ERA,33.683
ERS,10267329.19
ESD,82.723
ESW,3.704
ETC,15.503
EWF,39256.726
EWV,881.882
EWW,5597.259
EXF,21438.667
EZO,4615.736
FAB,13262.801
FBM,2169.089
FBU,0
FCC,12814.434
FCG,13693881.48
FCH,26152.01
FCN,63328.833
FCP,8695958.604
FCX,1137.853
FCY,1381002.182
FFX,8840.283
FGG,381247.204
FGI,100
FGO,9778.232
FGS,70055.315
FIN,482.788
FIS,100776.456
FKN,12.384
FLP,239463.175
FLT,1483520.725
FLU,81.181
FLX,84.157
FOK,7083.786
FOT,101542.941
FPC,121861.33
FPE,6450.533
FPI,7514.307
FPP,12409.083
FPY,139.68
FRF,5221863.294
FRG,1686364.354
FRO,196.415
FRX,6276.827
FSH,4038.231
FSN,48265.021
FSS,619282.771
FSV,1.5
FTE,3437.92
FYS,1214888.2
GAS,0
GBM,5250.191
GCA,25584.24
GDY,5626.901
GEC,25289.84
GFZ,143693.2
GIP,534493.221
GIT,5859249.819
GJK,3.2
GJW,22193.737
GLS,2751228.001
GLT,165.901
GOM,5.16
GPX,617814.473
GQB,269197.698
GRL,107.871
GSU,550925.298
GZG,9.358
HAL,7786.438
HCJ,152462.215
HED,8350
HEL,61.856
HFC,5274.521
HIX,595.254
HJF,3.607
HLT,105
HON,0.877
HSR,58.802
HTF,104998.774
HTN,14511.739
HUC,238.863
HUH,366.804
HWU,1383.725
HXP,7884.615
HYZ,44069.92
HZP,18881.2
IAG,27
IEW,7724.034
IGF,13
IGI,76.656
IGX,225.241
INV,644350.703
ITM,391.085
ITP,1221660.569
IWY,68.31
JJM,6175.41
JSC,558094.277
KII,3348.26
KNA,1682.46
KQT,76.387
KTD,35.944
KUE,0.874
KUP,393111.204
KUR,864433.218
KYC,3.47
LBB,107754.519
LBI,35274.874
LBM,105.653
LCB,128590.675
LEF,316993
LJH,35058.529
LJS,4617.145
LJT,1970.501
LJV,9580.797
LLZ,52743.792
LMS,785.214
LNJ,4918124.436
LOJ,133.013
LOK,0.321
LPB,71.06
LQD,39.764
LQX,807.622
LRH,4225018.649
LRN,1373.73
LUB,9.087
LXR,227.498
LXZ,8757.833
LYC,552174.528
LZI,1710.281
LZJ,75.704
MAS,2996.586
MBM,289.989
MCL,14661.882
MCP,7181.029
MCS,0
MET,335634.625
MGR,209364.181
MGS,1014.697
MIH,1729.094
MIL,2245406.229
MLM,12926.993
MNX,1949475.731
MOF,74390.726
MOL,1168514.723
MPE,272.639
MPN,20594.47
MPS,2006367.564
MPV,192.316
MSC,4476.4
MSL,11146.034
MSM,101824.647
MSR,0
MSV,66108.359
MSX,577156.793
MTN,5273.993
MUC,7465.546
MUD,1180263.004
MUF,35308.217
MUK,21871.74
MUL,976311.504
MUS,315218.232
MUZ,626725.591
MXW,329.775
MXY,1.7
MYA,5550.496
MYC,1171051.44
MYN,19674.659
MZZ,3177367.293
NCC,1718.307
NDN,6
NGH,41.104
NGR,28726.286
NGS,1.293
NGU,154.987
NGY,3.564
NIP,35404.8
NMU,159.821
NQT,10.5
NXI,40.583
NXM,124.415
NXP,84.114
NXU,4.525
OAL,102551.819
OBL,21291.157
OCH,1194
OCZ,35.482
OEA,4931.999
OGN,14977.6
OGZ,794.338
OIF,97.418
OIH,15176.249
OIT,9616.112
OKB,913.788
OLF,16126.055
ONN,3065.45
ONP,10850.4
ORM,9616.112
OSH,136332.142
OST,77309.348
OXW,1131814.8
OYA,185253.456
OYC,6315119.582
OYF,20670.713
OYG,1285723.704
OYH,33.6
OYI,3693.281
OYM,1070.159
OYR,8387.922
PAM,2096.865
PBA,9918.095
PBF,610118.967
PCA,64013.549
PEN,983637.819
PGP,37752.197
PGS,3130479.294
PGZ,566431.373
PIN,12.96
PKF,3.637
PLL,5668.162
PLM,276.286
PLN,86.279
PLZ,78158.878
PMW,0.237
PNI,18803.243
PNM,1744.674
PNS,22145.814
PNV,36457059.62
POB,3619.039
POM,160
POO,17286.047
POP,1780528.4
PPF,1879.895
PPZ,405534.135
PRF,2450998.194
PRJ,7950
PRL,6101.811
PRS,25200.546
PRT,1268784.519
PSM,16920.565
PTB,135.339
PTE,15.6
PTG,244446.479
PTS,30.009
PUQ,14.708
PUS,12532.062
PVR,765.928
QFP,412.075
QMG,15663.783
QMR,323.134
QOF,781.078
QPN,434.153
QQX,16.881
QRX,6896.707
QSC,32.109
QVC,100.813
QWX,29366.101
QYP,9.084
RCW,23101376.43
RDM,175092.971
RES,32635.136
REV,73280.73
RMQ,18.789
RNJ,478.221
RNM,10425
RPG,34837.991
RPN,333477.06
RQN,1435.621
RQU,334994.153
RSS,30.286
RYJ,467.117
SAH,486.831
SAL,19009409.68
SAR,112.578
SBF,68358.219
SBG,1810912.166
SBH,37421.842
SBQ,6.3
SBX,287503.377
SCD,353.809
SCE,60.927
SCN,2896.449
SCO,3104.792
SCQ,138043.525
SCX,4741794.852
SFL,191710.749
SFM,79.208
SHR,168.441
SIN,6353478.46
SIZ,87817.075
SLC,24.757
SLV,78478.627
SLX,25783.413
SLZ,120543.868
SNA,4846.359
SNU,4.163
SNX,3215.333
SOC,252
SOL,179.472
SOM,11473.099
SOO,2209.864
SOX,236.548
SPI,924.619
SPU,3.324
SRE,4.533
SRO,775681.193
SSX,9969.345
STA,14117.674
STB,16464.899
STU,862409.416
SVC,10578697.09
SVF,15150.317
SVT,1411546.942
SWA,151.79
SWB,978736.187
SWG,11.236
SWR,413.243
SWX,49743.676
SXU,296.759
SZH,2085.319
TAR,11575.166
TCS,150.879
TEU,0.015
TFG,0
TGH,26.979
TGS,62.046
TLL,7040
TLM,67862.888
TLN,9689841.959
TLP,1991235.338
TLR,33731.28
TLV,179.347
TLZ,11.017
TOB,827.928
TQY,14185.36
TRE,10464.666
TRO,93148.422
TRR,4369434.078
TRS,440571.689
TRZ,45138.413
TTS,3473490.557
TUG,240.001
TUL,545972.546
TUR,468401.308
TXK,98267.438
TXV,150.015
TXY,75189.778
TXZ,33909.949
TYT,1.395
TZD,305.864
TZO,41449.473
TZS,87.852
UDC,4317.876
UDP,1983986.219
UEC,7702.153
UKI,58.148
ULL,74.575
ULX,13882.2
UOS,6
UPY,4152.673
URC,91718.512
UYH,975.26
VEV,135.116
VMH,654.771
VNA,25.756
VRA,27.017
VUC,1154.752
WAA,3989.95
WCC,29.84
WDX,5536874.173
WHF,15363.209
WIX,955.259
WOR,1182.74
WSD,40861.744
WUB,2301316.333
XHC,8578.173
YAR,657681.125
YCH,1394313.784
YGX,66.665
YHX,675.956
YLU,46363.946
YLW,160950.682
YMX,10.62
YRD,55.613
YTC,13337.05
YTL,2840
YUX,33009.667
YWF,16.332
ZHB,4578.666
Grand Total,296524021.3
