species_code,volume_tonnes
APR,48.665
AMJ,132700
MAR,61.14
AAA,30
AAB,0
AAS,0.733
ABF,1320.946
ABJ,2
ABP,2354.38
ABX,242021.139
ACB,1409.468
ACH,10058.03
AJC,86.065
AJM,50
ALR,4.91
AMB,311.516
AMS,0
AMX,22711.781
APB,350.04
APE,0.27
APG,164.48
APL,2262.13
ARP,1952.27
AST,0.73
AUO,5
AXF,599.38
AYS,1.466
BAH,43490.639
BAJ,203539.436
BBK,95
BCB,3
BCL,1232.39
BCM,304.119
BFS,12.89
BFT,32590.271
BGJ,3
BGX,3.5
BIC,3234401.435
BKC,717565.76
BLC,410404.904
BMZ,1807.148
BNC,420.153
BNM,4.042
BNO,3.7
BOY,1.955
BSS,299809.871
BSX,94.096
BUF,0
BVF,143.148
BXH,5833.826
BYB,177.618
BZH,4621.999
CAF,587.132
CAN,0.429
CAU,38.684
CBA,35043.191
CBT,20085.361
CDT,8.65
CEW,40.901
CFS,0
CGM,96215
CGO,476.94
CHA,4542
CHC,833
CHE,179.783
CHI,16985
CHL,1.04
CHR,2543.671
CHU,14
CID,23.148
CIJ,521.473
CIV,3881
CLH,27233
CLJ,4343389.915
CLN,0
CLR,6.325
CLS,416.564
CLX,63331.082
CLZ,238704.085
CMA,26385.234
CMG,609662.27
CMR,143.85
CNA,548634.027
CNP,1022
COB,102
COC,1945.944
COD,349.796
COH,231699.96
COO,0
CPR,19.8
CRA,25325.58
CRD,31.64
CRP,265.97
CRS,105302.106
CRU,59.98
CSC,23.75
CSD,110503.748
CSI,40736.898
CSM,164192.114
CSO,13963.373
CSR,50
CST,0
CSY,4322
CTG,5328.631
CTO,1291150.988
CTT,3784873.12
CUJ,228813.221
CUX,228.541
CXS,559.478
CXT,0.117
DDA,7.2
DEP,3
DKX,0.12
DOD,145.3
DOK,100
DOM,261
DSE,4153
DZS,45
EBP,840
EEA,1.48
EEC,0.18
EEN,48.34
EFK,180.591
EFY,177.615
EIF,85.716
EKN,101.475
ELE,5847.242
ELJ,296605.825
ELX,783.531
EMA,1498958.458
EME,231.093
EMI,127728.223
EML,133.818
EMO,56.32
EMW,0.15
EMX,7081071.318
ENI,606.5
EPR,0
EPY,2.2
ERA,3.88
ERS,808292.754
ESD,39.722
ESW,26.5
ETC,7.394
EWF,5775.81
EWV,118.864
EWW,970.996
EXF,2477.17
EZO,523.753
FAB,6923
FBM,1301.756
FBU,0
FCC,6564.325
FCG,5982994.756
FCH,11741.795
FCN,32854.654
FCP,4181487.439
FCX,202.609
FCY,745472.816
FFX,724.918
FGG,148033.015
FGI,5
FGO,4206.927
FGS,30499.721
FIN,9.529
FIS,38371.07
FKN,8
FLP,32676.231
FLT,311528.77
FLU,36.4
FLX,9.896
FOK,2228.072
FOT,12521.067
FPC,62512.438
FPE,903.92
FPI,1582.059
FPP,1992.128
FPY,24
FRF,3278203.137
FRG,185685.195
FRO,121.152
FRX,1745
FSH,475.086
FSN,16512.606
