species name,species_code
Alaria esculenta,AJC
Cladosiphon okamuranus,DOK
Laminaria digitata,LQD
Macrocystis pyrifera,MXY
Saccharina japonica,LNJ
Saccharina latissima,LQX
Sargassum fusiforme,GQB
Undaria pinnatifida,UDP
Capsosiphon fulvescens,UEC
Caulerpa racemosa,KQR
Codium fragile,KII
Enteromorpha prolifera,EBP
Monostroma nitidum,IZM
Chondracanthus chamissoi,KDM
Eucheuma denticulatum,EMI
Eucheuma isiforme,UKI
Gelidium amansii,GDY
Gigartina skottsbergii,GJK
Gracilaria gracilis,GZG
Gracilaria verrucosa,GJW
Kappaphycus alvarezii,EMA
Meristotheca senegalense,JZT
Palmaria palmata,RHP
Porphyra columbina,YKN
Porphyra tenera,PRT
Sarcothalia crispata,SBQ
