Species name,Food,Feed,Hydrocolloid,Biofuel,Fertilizer
Alaria esculenta,1,,,,
Capsosiphon fulvescens,6,,,,
Caulerpa racemosa,1,,,,
Chondracanthus chamissoi,,,1,,
Cladosiphon okamuranus,4,,,,
Codium fragile,5,,,,
Enteromorpha prolifera,,1,,,
Euchema denticulatum,,,1,,
Eucheuma isiforme,,,1,,
Gelidium amansii,,,1,,
Gigartina skottsbergii,,,1,,
Gracilaria gracilis,,1,1,,
Gracilaria verrucosa,,1,1,,
Kappaphycus alvarezii,,,1,,
Laminaria digitata,1,1,1,,
Laminaria japonica,1,1,1,,
macrocystis pyrifera,,1,1,1,
Meristotheca senegalensis,3,,,,
Monostroma nitidum,1,,,,
palmaria palmata,1,,,,
Porphyra columbina,1,1,,,
Porphyra tenera,1,1,,,
saccharina latissima,,,,,1
saccharina japonica,,,,,1
Sarcothalia crispata,,,1,,
Sargassum fusiforme,,,1,,1
Undaria pinnatifida,1,,1,,
